timestamp,session_time,Fp1,Fp2,C3,C4,P7,P8,O1,O2,EMG,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz
1749632457.625077,1.146,-3468.941988073824,-3476.9824302324573,-3460.9205292517577,-327.90316899456604,-3489.2416691621147,-3473.411065150626,-3479.367836340408,-3483.0161338914795,2146,16392.0,14748.0,14492.0,-6656.0,9440.0,-17248.0,-4176.0,-860.0,-2136.0,-477.0,1175.0,1839.0,1111.0,3632.0,491.0,205.0,-134.0,-243.0
1749632457.6750798,1.196,-3469.415072803506,-3474.5021074416763,-3465.2911927153104,-321.39038586799927,-3501.152713734235,-3464.8380904451715,-3478.4851111900934,-3472.90101287079,2163,16368.0,14904.0,14552.0,-6612.0,9420.0,-17196.0,-4136.0,-988.0,-1916.0,-476.0,1174.0,1831.0,1092.0,3570.0,468.0,211.0,-131.0,-255.0
1749632457.7251,1.246,-3468.852566567369,-3494.6504213989288,-3460.8076283553396,-327.64189833604075,-3488.6846581023524,-3473.063869916066,-3478.9122362628264,-3481.8786323819913,2145,16368.0,14840.0,14476.0,-6688.0,9352.0,-17252.0,-4220.0,-688.0,-1932.0,-480.0,1182.0,1835.0,1090.0,3632.0,484.0,208.0,-131.0,-250.0
1749632457.7750669,1.296,-3468.658736709802,-3462.8997918694963,-3464.699711912836,-320.8103949797624,-3501.4034936015005,-3464.05277978513,-3478.2712988729836,-3471.7954832965715,2162,16360.0,14916.0,14452.0,-6620.0,9488.0,-17252.0,-4160.0,-740.0,-1868.0,-487.0,1192.0,1834.0,1111.0,3648.0,500.0,192.0,-156.0,-236.0
1749632457.8251112,1.346,-3469.240226282504,-3485.5638974832177,-3460.7376897469394,-328.23837475340065,-3488.7001445084984,-3473.1592861603845,-3477.8666540672366,-3482.5845127653492,2144,16308.0,14840.0,14472.0,-6668.0,9352.0,-17268.0,-4136.0,-916.0,-1980.0,-491.0,1171.0,1807.0,1092.0,3633.0,460.0,193.0,-129.0,-238.0
1749632457.875081,1.396,-3468.000314667858,-3479.1705095524203,-3464.364006592513,-319.73134216443805,-3500.978366774722,-3463.3478985247493,-3477.855663714488,-3470.049515893998,2159,16416.0,14828.0,14472.0,-6668.0,9384.0,-17204.0,-4136.0,-804.0,-1952.0,-455.0,1182.0,1836.0,1090.0,3556.0,466.0,206.0,-145.0,-251.0
1749632457.9250822,1.446,-3469.2032587323492,-3477.2237184314395,-3460.730695886099,-329.0991191982173,-3488.798058560259,-3472.9125027850278,-3477.6338584135606,-3482.8647667604405,2150,16480.0,14808.0,14444.0,-6664.0,9352.0,-17228.0,-4096.0,-620.0,-1988.0,-472.0,1163.0,1827.0,1122.0,3584.0,462.0,215.0,-127.0,-239.0
1749632457.975083,1.496,-3468.102225211528,-3480.659202788377,-3464.279580700944,-319.36866052373176,-3501.314072095045,-3462.911281783734,-3477.729774219367,-3470.8393226074368,2152,16412.0,14936.0,14424.0,-6764.0,9404.0,-17212.0,-4188.0,-864.0,-2016.0,-512.0,1182.0,1814.0,1083.0,3595.0,465.0,206.0,-145.0,-247.0
1749632458.0250921,1.546,-3468.4489208846,-3475.587154994864,-3460.378005475164,-328.55859366757795,-3487.94880402968,-3472.087726767388,-3478.2847870331752,-3481.894118788137,2155,16500.0,14796.0,14456.0,-6648.0,9448.0,-17272.0,-4044.0,-776.0,-1956.0,-464.0,1198.0,1834.0,1089.0,3608.0,454.0,206.0,-139.0,-248.0
1749632458.075119,1.596,-3467.783504981816,-3472.4234320877113,-3463.7320613094644,-319.14535653833826,-3501.5948256516244,-3463.001702413166,-3477.4804930365676,-3470.758893207776,2155,16336.0,14852.0,14552.0,-6604.0,9460.0,-17176.0,-4008.0,-960.0,-1992.0,-466.0,1194.0,1805.0,1084.0,3627.0,468.0,198.0,-142.0,-228.0
1749632458.125073,1.646,-3468.367492361962,-3494.6818937727085,-3460.3275497648183,-327.8407238084941,-3487.67154740352,-3471.65910301019,-3477.0433767340633,-3480.9259686232767,2146,16364.0,14936.0,14424.0,-6680.0,9388.0,-17240.0,-4296.0,-840.0,-2032.0,-473.0,1172.0,1823.0,1136.0,3638.0,476.0,211.0,-148.0,-245.0
