fold,val_accuracy,auc,f1,inference_time,training_time
1,0.5012531328320802,0.5957625894309708,0.6677824267782427,5.1369941921759966e-05,1.1907587051391602
Avg,0.5012531328320802,0.5957625894309708,0.6677824267782427,5.1369941921759966e-05,1.1907587051391602
